"prefix","code","course name","description","credit hours","prereqs","coreqs"
"PHIL","347","Honors: Ethical Theory","An exploration of some basic issues about morality, such as the nature of moral truth, whether any moral principles are absolute, what moral obligations we have, why we should be moral, what is good and worth striving for, and the role of virtues and ideals in the moral life. Honors version of PHIL 340 *.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","348","Honors: Environmental Ethics","An exploration of issues concerning the nature of the environment and the place of humanity within it. Honors version of PHIL 346 *.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","350","Aesthetics","An exploration of the nature of art, artworks, and beauty as well as aesthetic appraisal and connections between art and morality.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","353","Philosophy and Literature","An exploration of the nature of literature and philosophical, readings of literary works, such as novels, plays, and poems, and relationships between philosophy and literature.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","360","Philosophy of Science","An introduction to major questions in the philosophy of science, such as the nature of objectivity, the relationship between experiments, data, and hypotheses, scientific theory change and paradigm shifts, induction, laws of nature, heuristics and biases in human reasoning, the social organization of science, including issues related to gender and race, and the role of values in science.","3","",""
"PHIL","365","Philosophy of Social Science","Philosophical exploration of social scientific inquiry including but not limited to economics, social and organizational psychology, political science and jurisprudence, sociology and anthropology and its connections to the larger academic context, politics, and power relations broadly construed, as well as a variety of timeless philosophical questions (such as human freedom and autonomy, causation, and laws of nature). Some discussion of possible differences between natural and social science, as well as among all the sciences. Focus may vary over different runs of the course.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","370","Philosophy of Religion","A philosophical study of basic issues in religion, such as faith, religious experience, and the nature and existence of God.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","371","Epistemology","An introduction to central debates in the theory of knowledge and rational belief, such as the nature of knowledge, how we can come to know things, and how to distinguish reasonable from unreasonable beliefs.","3","",""
"PHIL","372","Metaphysics","An introduction to central debates in metaphysics, such as the nature of causation, free will and determinism, time and persistence, material composition and constitution, the relationship between individuals and their attributes, and the nature of possibility and necessity.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","373","Philosophy of Mind","An introduction to central debates in the philosophy of mind, such as the relationship between minds, brains, and bodies, the nature of the self and personal identity across time, mental causation and representation, and the nature of conscious experience.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","375","Philosophy of Action","An introduction to central debates in the philosophy of action, such as the nature of action, knowledge of action, acting intentionally, reasons for action, moral responsibility, and free will and determinism.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","382","Philosophy of Feminism","A philosophical exploration of feminist perspectives on issues related to gender, sex, and sexuality, labor, sexism and racism, intersectionality, colonialism, oppression, and sexual violence.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","383","Philosophy of Disability","Philosophical exploration of disability and its connections to autonomy, dependency, wellbeing, justice, respect, and ableism. Topics may include prenatal testing, assisted dying, eugenics, provisioning accommodations, education, legal interpretations of disability, and intersectional connections.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","390","Philosophical Foundations of Democracy","A study of philosophical problems relating to the nature and justification of the central values, principles, concepts, and institutions of a democratic society.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","391","Social and Political Philosophy","Philosophical inquiry into the nature and norms of social and political life.  Topics covered may include recognition and respect, friendship, community, cooperation, authority, justice, rights, stability, and toleration.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","392","Philosophy of Law","An exploration of some basic issues about the law and legal systems, such as the nature of legal systems as normative social practices, the relationships between law and morality, theories of adjudication and legal reasoning, the justification of punishment, theories of legal responsibility, law and economics, and feminist and neo-Marxist critiques of law.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
